Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 778 nan nan
1 790 nan nan
2 802 12 0
3 812 9 -2.5
4 824 13 3
5 836 12 -0.5
6 848 12 0
7 862 15 2.5
8 874 11 -3
9 886 12 0.5
10 898 12 0
11 910 12 0
12 922 12 0
13 934 12 0
14 948 15 2.5
15 958 8 -5.5
16 968 10 1
17 978 10 0
18 988 10 0
19 996 7 -2.5
20 1001 3.5 -3.25
21 998 -7 -9.25
22 980 -25.5 -16.75
23 950 -36 -11.25
24 918 -33 0.5
25 894 -20 10.5
26 886 0 18
27 884 1 3.5
28 884 1 1
29 886 3 2
30 888 2 -0.5
31 888 -1 -2.5
32 888 0 0.5
33 890 3 2.5
34 892 2 -0.5
35 894 2 0
36 896 2 0
37 898 2 0
38 900 2 0
39 904 5 2.5
40 906 1 -3
41 908 2 0.5
42 910 2 0
43 912 2 0
44 916 5 2.5
45 918 1 -3
46 920 2 0.5
47 922 2 0
48 924 2 0
49 928 5 2.5
50 930 1 -3
51 932 2 0.5
52 936 5 2.5
53 938 1 -3
54 942 5 3
55 946 4 -0.5
56 948 1 -2.5
57 952 5 3
58 956 4 -0.5
59 958 1 -2.5
60 962 5 3
61 966 4 -0.5
62 968 1 -2.5
63 972 5 3
64 976 4 -0.5
65 980 4 0
66 984 4 0
67 988 4 0
68 990 1 -2.5
69 994 5 3
70 998 4 -0.5
71 1001 2.5 -1.25
72 1003 1.5 -1
73 1006 3.5 1.5
74 1008 1.5 -1.5
75 1009 0.5 -1
76 1011 2.5 1.5
77 1012 0.5 -1.5
78 1014 2.5 1.5
79 1016 2 -0.25
80 1017 0.5 -1.25
81 1019 2.5 1.5
82 1020 0.5 -1.5
83 1022 2.5 1.5
84 1024 2 -0.25
85 1025 0.5 -1.25
86 1027 2.5 1.5
87 1028 0.5 -1.5
88 1029 1 0.25
89 1031 2.5 1.25
90 1032 0.5 -1.5
91 1034 2.5 1.5
92 1036 2 -0.25
93 1037 0.5 -1.25
94 1039 2.5 1.5
95 1041 2 -0.25
96 1042 0.5 -1.25
97 1044 2.5 1.5
98 1045 0.5 -1.5
99 1047 2.5 1.5
100 1049 2 -0.25
101 1050 0.5 -1.25
102 1052 2.5 1.5
103 1053 0.5 -1.5
104 1055 2.5 1.5
105 1057 2 -0.25
106 1058 0.5 -1.25
107 1060 2.5 1.5
108 1062 2 -0.25
109 1063 0.5 -1.25
110 1065 2.5 1.5
111 1066 0.5 -1.5
112 1068 2.5 1.5
113 1069 0.5 -1.5
114 1071 2.5 1.5
115 1072 0.5 -1.5
116 1073 1 0.25
117 1075 2.5 1.25
