Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 574 nan nan
1 575 nan nan
2 577 2.5 1
3 579 2 -0.25
4 580 0.5 -1.25
5 582 2.5 1.5
6 583 0.5 -1.5
7 585 2.5 1.5
8 587 2 -0.25
9 588 0.5 -1.25
10 590 2.5 1.5
11 591 0.5 -1.5
12 592 1 0.25
13 594 2.5 1.25
14 595 0.5 -1.5
15 597 2.5 1.5
16 599 2 -0.25
17 600 0.5 -1.25
18 608 11.5 9
19 618 11 0.75
20 626 7 -3
21 636 11 3
22 644 7 -3
23 652 8 0.5
24 662 11 2.5
25 672 10 -0.5
26 680 7 -2.5
27 686 5 -2
28 688 0 -4.5
29 694 8 6
30 702 9 1.5
31 716 17 7
32 726 8 -6.5
33 730 1 -6.5
34 732 1 -1
35 736 5 3
36 746 13 7
37 758 13 1
38 766 6 -5.5
39 770 2 -4
40 772 1 -1.5
41 774 2 0.5
42 776 2 0
43 776 -1 -2.5
44 778 3 3
45 780 2 -0.5
46 782 2 0
47 784 2 0
48 786 2 0
49 788 2 0
50 790 2 0
51 792 2 0
52 794 2 0
53 798 5 2.5
54 802 4 -0.5
55 806 4 0
56 808 1 -2.5
57 812 5 3
58 816 4 -0.5
59 820 4 0
60 824 4 0
61 828 4 0
62 832 4 0
63 836 4 0
64 840 4 0
65 844 4 0
66 848 4 0
67 852 4 0
68 856 4 0
69 862 7 2.5
70 866 3 -3
71 870 4 0.5
72 874 4 0
73 878 4 0
74 882 4 0
75 886 4 0
76 890 4 0
77 894 4 0
78 900 7 2.5
79 904 3 -3
80 910 7 3
81 914 3 -3
82 920 7 3
83 924 3 -3
84 928 4 0.5
85 932 4 0
86 938 7 2.5
87 942 3 -3
88 946 4 0.5
89 952 7 2.5
90 956 3 -3
91 960 4 0.5
92 964 4 0
93 970 7 2.5
94 974 3 -3
95 978 4 0.5
96 982 4 0
97 988 7 2.5
98 992 3 -3
99 996 4 0.5
100 1000 4 0
101 1002 1 -2.5
102 1004 2 0.5
103 1006 2 0
104 1009 3.5 1.25
105 1011 1.5 -1.5
106 1013 2 0.25
107 1016 3.5 1.25
108 1018 1.5 -1.5
109 1020 2 0.25
110 1023 3.5 1.25
111 1025 1.5 -1.5
112 1027 2 0.25
113 1029 2 0
114 1031 2 0
115 1033 2 0
116 1036 3.5 1.25
117 1038 1.5 -1.5
118 1041 3.5 1.5
119 1043 1.5 -1.5
120 1045 2 0.25
121 1048 3.5 1.25
122 1050 1.5 -1.5
123 1052 2 0.25
124 1054 2 0
125 1056 2 0
126 1058 2 0
127 1060 2 0
128 1062 2 0
129 1064 2 0
130 1066 2 0
131 1068 2 0
132 1070 2 0
133 1072 2 0
134 1074 2 0
135 1076 2 0
136 1078 2 0
137 1081 3.5 1.25
138 1083 1.5 -1.5
139 1085 2 0.25
140 1088 3.5 1.25
141 1090 1.5 -1.5
142 1092 2 0.25
143 1094 2 0
144 1096 2 0
145 1098 2 0
146 1100 2 0
147 1102 2 0
148 1104 2 0
149 1106 2 0
150 1108 2 0
