Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 519 nan nan 0
1 519 nan nan 0
2 519 0 0 0
3 524 7.5 6.25 0
4 540 21.5 12.5 0
5 576 46 22.25 0
6 766 267 187.5 0
7 1065 353.5 97.75 0
8 1238 110 -184.75 0
9 1378 123.5 -9.75 0
10 1480 83 -39.25 0
11 1551 55.5 -29.25 0
12 1606 47 -12.25 0
13 1651 40 -8.5 0
14 1690 36 -5 0
15 1724 31.5 -4.75 0
16 1755 29.5 -2.5 0
17 1782 25 -4.25 0
18 1807 24 -1.5 0
19 1831 23.5 -0.75 0
20 1853 21 -2.25 0
21 1875 22 0.5 0
22 1896 20.5 -1.25 0
23 1915 18 -2.25 0
24 1933 17.5 -0.75 0
25 1950 16.5 -1 0
26 1967 17 0.25 0
27 1984 17 0 0
28 2002 18.5 1.25 0
29 2021 19.5 1 0
30 2041 20.5 1 0
31 2059 17 -2.75 0
32 2075 15 -2 0
33 2090 14.5 -0.75 0
34 2105 15 0.25 0
35 2119 13.5 -1.25 0
36 2131 11 -2.25 0
37 2142 10.5 -0.75 0
38 2153 11 0.25 0
39 2164 11 0 0
40 2176 12.5 1.25 0
41 2189 13.5 1 0
42 2200 10 -2.75 0
43 2212 12.5 1.75 0
44 2223 10.5 -1.5 0
45 2233 9.5 -1 0
46 2242 8.5 -1 0
47 2251 9 0.25 0
48 2259 7.5 -1.25 0
49 2267 8 0.25 0
50 2276 9.5 1.25 0
51 2285 9 -0.25 0
52 2294 9 0 0
53 2303 9 0 0
54 2312 9 0 0
55 2320 7.5 -1.25 0
56 2325 3.5 -3.5 0
57 2328 2 -1.75 0
58 2330 1.5 -0.75 0
59 2331 0.5 -1 0
60 2332 1 0.25 0
61 2334 2.5 1.25 0
62 2336 2 -0.25 0
63 2338 2 0 0
64 2340 2 0 0
65 2342 2 0 0
66 2350 11 7.5 0
67 2366 20 8.5 0
68 2388 25 5.5 0
69 2404 13 -9 0
70 2413 5.5 -7.25 0
71 2414 -3 -8.25 0
72 2415 1 2 0
73 2416 1 0 0
74 2418 2.5 1.25 0
75 2420 2 -0.25 0
76 2422 2 0 0
77 2424 2 0 0
78 2426 2 0 0
79 2428 2 0 0
80 2430 2 0 0
81 2432 2 0 0
82 2435 3.5 1.25 0
83 2437 1.5 -1.5 0
84 2440 3.5 1.5 0
85 2442 1.5 -1.5 0
86 2445 3.5 1.5 0
87 2448 3 -0.25 0
88 2451 3 0 0
89 2454 3 0 0
90 2457 3 0 0
91 2460 3 0 100
92 2463 3 0 100.5
93 2466 3 0 101
94 2469 3 0 101.5
95 2472 3 0 102
96 2472 -1.5 -3.75 102.5
97 2475 4.5 4.5 103
98 2478 3 -0.75 103.5
99 2481 3 0 104
100 2484 3 0 104.5
101 2488 4.5 1.25 105
102 2491 2.5 -1.5 105.5
103 2494 3 0.25 106
104 2498 4.5 1.25 106.5
105 2501 2.5 -1.5 107
106 2504 3 0.25 107.5
107 2507 3 0 108
108 2511 4.5 1.25 108.5
109 2514 2.5 -1.5 109
110 2517 3 0.25 109.5
111 2520 3 0 110
112 2524 4.5 1.25 110.5
113 2527 2.5 -1.5 111
114 2530 3 0.25 111.5
115 2533 3 0 112
116 2537 4.5 1.25 112.5
117 2541 4 -0.25 113
118 2544 2.5 -1.25 113.5
119 2548 4.5 1.5 114
120 2551 2.5 -1.5 114.5
121 2555 4.5 1.5 115
122 2558 2.5 -1.5 115.5
123 2562 4.5 1.5 116
124 2565 2.5 -1.5 116.5
125 2569 4.5 1.5 117
126 2572 2.5 -1.5 117.5
127 2576 4.5 1.5 118
128 2580 4 -0.25 118.5
129 2583 2.5 -1.25 119
130 2587 4.5 1.5 119.5
131 2590 2.5 -1.5 120
132 2594 4.5 1.5 120.5
133 2597 2.5 -1.5 121
134 2601 4.5 1.5 121.5
135 2604 2.5 -1.5 122
136 2608 4.5 1.5 122.5
137 2611 2.5 -1.5 123
138 2615 4.5 1.5 123.5
139 2619 4 -0.25 124
140 2622 2.5 -1.25 124.5
141 2626 4.5 1.5 125
142 2630 4 -0.25 125.5
143 2633 2.5 -1.25 126
144 2637 4.5 1.5 126.5
145 2640 2.5 -1.5 127
146 2644 4.5 1.5 127.5
147 2647 2.5 -1.5 128
148 2651 4.5 1.5 128.5
149 2654 2.5 -1.5 129
150 2658 4.5 1.5 129.5
151 2662 4 -0.25 130
152 2665 2.5 -1.25 130.5
153 2669 4.5 1.5 131
154 2673 4 -0.25 131.5
155 2677 4 0 132
156 2680 2.5 -1.25 132.5
157 2684 4.5 1.5 133
158 2688 4 -0.25 133.5
159 2691 2.5 -1.25 134
160 2695 4.5 1.5 134.5
161 2699 4 -0.25 135
162 2702 2.5 -1.25 135.5
163 2706 4.5 1.5 136
164 2709 2.5 -1.5 136.5
165 2712 3 0.25 137
166 2716 4.5 1.25 137.5
167 2719 2.5 -1.5 138
168 2723 4.5 1.5 138.5
169 2727 4 -0.25 139
170 2731 4 0 139.5
171 2735 4 0 140
172 2739 4 0 140.5
173 2743 4 0 141
174 2746 2.5 -1.25 141.5
175 2750 4.5 1.5 142
176 2753 2.5 -1.5 142.5
177 2757 4.5 1.5 143
178 2760 2.5 -1.5 143.5
179 2764 4.5 1.5 144
180 2767 2.5 -1.5 144.5
181 2771 4.5 1.5 145
182 2775 4 -0.25 145.5
183 2779 4 0 146
184 2782 2.5 -1.25 146.5
185 2786 4.5 1.5 147
186 2790 4 -0.25 147.5
187 2794 4 0 148
188 2798 4 0 148.5
189 2802 4 0 149
190 2806 4 0 149.5
191 2809 2.5 -1.25 150
192 2813 4.5 1.5 150.5
193 2817 4 -0.25 151
194 2821 4 0 151.5
195 2825 4 0 152
196 2829 4 0 152.5
197 2834 5.5 1.25 153
198 2838 3.5 -1.5 153.5
199 2842 4 0.25 154
200 2847 5.5 1.25 154.5
201 2851 3.5 -1.5 155
202 2855 4 0.25 155.5
203 2859 4 0 156
204 2863 4 0 156.5
205 2867 4 0 157
206 2871 4 0 157.5
207 2875 4 0 158
208 2879 4 0 158.5
209 2883 4 0 159
210 2887 4 0 159.5
211 2887 -2 -5 160
212 2892 7.5 7.25 160.5
213 2896 3.5 -2.5 161
214 2901 5.5 1.5 161.5
215 2905 3.5 -1.5 162
216 2909 4 0.25 162.5
217 2913 4 0 163
218 2918 5.5 1.25 163.5
219 2922 3.5 -1.5 164
220 2926 4 0.25 164.5
221 2930 4 0 165
222 2934 4 0 165.5
223 2939 5.5 1.25 166
224 2943 3.5 -1.5 166.5
225 2947 4 0.25 167
226 2952 5.5 1.25 167.5
227 2956 3.5 -1.5 168
228 2961 5.5 1.5 168.5
229 2966 5 -0.25 169
230 2970 3.5 -1.25 169.5
231 2975 5.5 1.5 170
232 2979 3.5 -1.5 170.5
233 2983 4 0.25 171
234 2988 5.5 1.25 171.5
235 2992 3.5 -1.5 172
236 2997 5.5 1.5 172.5
237 3001 3.5 -1.5 173
238 3005 4 0.25 173.5
239 3010 5.5 1.25 174
240 3015 5 -0.25 174.5
241 3020 5 0 175
242 3025 5 0 175.5
243 3029 3.5 -1.25 176
244 3034 5.5 1.5 176.5
245 3039 5 -0.25 177
246 3044 5 0 177.5
247 3049 5 0 178
248 3054 5 0 178.5
249 3059 5 0 179
250 3064 5 0 179.5
251 3068 3.5 -1.25 180
252 3073 5.5 1.5 180.5
253 3078 5 -0.25 181
254 3083 5 0 181.5
255 3087 3.5 -1.25 182
256 3092 5.5 1.5 182.5
257 3097 5 -0.25 183
258 3103 6.5 1.25 183.5
259 3108 4.5 -1.5 184
260 3113 5 0.25 184.5
261 3119 6.5 1.25 185
262 3124 4.5 -1.5 185.5
263 3129 5 0.25 186
264 3134 5 0 186.5
265 3139 5 0 187
266 3144 5 0 187.5
267 3149 5 0 188
268 3154 5 0 188.5
269 3159 5 0 189
270 3164 5 0 189.5
271 3169 5 0 190
272 3174 5 0 190.5
273 3179 5 0 191
274 3184 5 0 191.5
275 3190 6.5 1.25 192
276 3195 4.5 -1.5 192.5
277 3201 6.5 1.5 193
278 3206 4.5 -1.5 193.5
279 3212 6.5 1.5 194
280 3217 4.5 -1.5 194.5
281 3223 6.5 1.5 195
282 3228 4.5 -1.5 195.5
283 3234 6.5 1.5 196
284 3240 6 -0.25 196.5
285 3245 4.5 -1.25 197
286 3251 6.5 1.5 197.5
287 3256 4.5 -1.5 198
288 3262 6.5 1.5 198.5
289 3267 4.5 -1.5 199
290 3272 5 0.25 199.5
291 3277 5 0 200
292 3282 5 0 200.5
293 3288 6.5 1.25 201
294 3293 4.5 -1.5 201.5
295 3299 6.5 1.5 202
296 3304 4.5 -1.5 202.5
297 3309 5 0.25 203
298 3315 6.5 1.25 203.5
299 3320 4.5 -1.5 204
300 3326 6.5 1.5 204.5
301 3332 6 -0.25 205
302 3337 4.5 -1.25 205.5
303 3343 6.5 1.5 206
304 3349 6 -0.25 206.5
305 3355 6 0 207
306 3361 6 0 207.5
307 3367 6 0 208
308 3385 24 15 208.5
309 3415 36 12 209
310 3456 46.5 10.75 209.5
311 3483 20 -20.25 210
