Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 400 nan nan 0
1 400 nan nan 0
2 400 0 0 0
3 404 6 5 0
4 423 26.5 17.75 0
5 461 47.5 20 0
6 504 45.5 1.5 0
7 521 4 -33.75 0
8 536 14 4 0
9 536 -7.5 -18.25 0
10 549 19.5 20 0
11 561 11.5 -4.5 0
12 572 10.5 -1 0
13 582 9.5 -1 0
14 591 8.5 -1 0
15 599 7.5 -1 0
16 638 54.5 39 0
17 680 43.5 -4 0
18 720 39 -3.25 0
19 756 34 -4.5 0
20 788 30 -4 0
21 818 29 -1.5 0
22 846 27 -2 0
23 872 25 -2 0
24 896 23 -2 0
25 918 21 -2 0
26 938 19 -2 0
27 958 20 0.5 0
28 980 23 2.5 0
29 1001 20.5 -1.75 0
30 1011 4.5 -13.5 0
31 1021 10 2.75 0
32 1030 8.5 -1.25 0
33 1039 9 0.25 0
34 1047 7.5 -1.25 0
35 1056 9.5 1.5 0
36 1065 9 -0.25 0
37 1074 9 0 0
38 1083 9 0 0
39 1091 7.5 -1.25 0
40 1098 6.5 -1 0
41 1105 7 0.25 0
42 1111 5.5 -1.25 0
43 1118 7.5 1.5 0
44 1126 8.5 1 0
45 1134 8 -0.25 0
46 1142 8 0 0
47 1150 8 0 0
48 1157 6.5 -1.25 0
49 1161 2.5 -3.5 0
50 1165 4 0.75 0
51 1170 5.5 1.25 0
52 1178 9.5 3.5 0
53 1187 9.5 0.5 0
54 1195 7.5 -1.5 0
55 1203 8 0.25 0
56 1209 5 -2.5 0
57 1215 6 0.5 0
58 1220 4.5 -1.25 0
59 1224 3.5 -1 0
60 1228 4 0.25 0
61 1235 8.5 3.75 0
62 1242 7 -0.75 0
63 1249 7 0 0
64 1256 7 0 0
65 1263 7 0 0
66 1270 7 0 0
67 1276 5.5 -1.25 0
68 1280 3 -2.25 0
69 1283 2.5 -0.75 0
70 1284 0 -2.25 0
71 1287 4 3 0
72 1293 7.5 3.25 0
73 1303 12 4.25 0
74 1312 8.5 -2.25 0
75 1320 7.5 -1 0
76 1327 6.5 -1 0
77 1334 7 0.25 0
78 1341 7 0 0
79 1349 8.5 1.25 0
80 1356 6.5 -1.5 0
81 1364 8.5 1.5 0
82 1370 5 -2.75 0
83 1374 3 -2 0
84 1376 1 -2 0
85 1380 5 3 0
86 1386 7 2 0
87 1395 10.5 3.25 0
88 1404 9 -0.75 0
89 1411 6 -2.5 0
90 1417 5.5 -0.75 0
91 1422 4.5 -1 0
92 1428 6.5 1.5 0
93 1433 4.5 -1.5 0
94 1439 6.5 1.5 0
95 1445 6 -0.25 0
96 1451 6 0 0
97 1457 6 0 0
98 1462 4.5 -1.25 0
99 1466 3.5 -1 0
100 1468 1 -2.25 0
101 1471 3.5 1.75 0
102 1476 6 2.25 0
103 1484 9.5 3.25 0
104 1493 9.5 0.5 0
105 1500 6 -2.75 0
106 1506 5.5 -0.75 0
107 1510 3 -2.25 0
108 1514 4 0.5 0
109 1520 7 2.5 0
110 1527 7.5 0.75 0
111 1535 8.5 1 0
112 1540 3.5 -4 0
113 1542 0.5 -3 0
114 1544 2 0.75 0
115 1545 0.5 -1.25 0
116 1546 1 0.25 0
117 1547 1 0 0
118 1548 1 0 0
119 1553 7 5 0
120 1562 11 4 0
121 1575 15 4 0
122 1586 10 -3.5 0
123 1594 6.5 -3.25 0
124 1598 2 -4.25 0
125 1602 4 1 0
126 1604 1 -2.5 0
127 1604 -1 -2 0
128 1605 1.5 1.75 0
129 1608 4 2.25 0
130 1613 6 2 0
131 1621 9.5 3.25 0
132 1628 6.5 -2 0
133 1631 1 -4.75 0
134 1634 3 1 0
135 1639 6 2.5 0
136 1647 9.5 3.25 101.5
137 1654 6.5 -2 104.5
138 1660 5.5 -1 107.5
139 1664 3 -2.25 110.5
140 1666 1 -2 113.5
141 1667 0.5 -0.75 116.5
142 1667 -0.5 -1 119.5
143 1668 1.5 1.5 122.5
144 1669 1 -0.25 125.5
145 1670 1 0 128.5
146 1671 1 0 131.5
147 1677 8.5 6.25 134.5
148 1686 10.5 2.5 137.5
149 1699 15 4.25 140.5
150 1710 10 -3.5 143.5
151 1717 5 -4.5 146.5
152 1719 -0.5 -5.25 149.5
153 1721 2 1.25 152.5
154 1722 0.5 -1.25 155.5
155 1723 1 0.25 158.5
156 1726 4 2.5 161.5
157 1733 9 4.5 164.5
158 1743 11.5 2.75 167.5
159 1750 5.5 -4.5 170.5
160 1754 2.5 -3 173.5
