Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 377 nan nan 0
1 376 nan nan 0
2 377 2 2 0
3 379 2.5 0.75 0
4 384 6.5 3.5 0
5 393 11 4.25 0
6 418 33 19 0
7 488 92.5 52.25 0
8 520 13 -58.75 0
9 543 18.5 -1.75 0
10 565 21.5 1 0
11 585 19 -2.25 0
12 626 51.5 26.75 0
13 738 147.5 83.5 0
14 842 100 -27.75 0
15 938 92 -8 0
16 1013 64.5 -24.25 0
17 1052 21 -39.75 0
18 1086 31.5 2.75 0
19 1115 26.5 -5 0
20 1143 27.5 0 0
21 1170 26.5 -1 0
22 1196 25.5 -1 0
23 1220 23 -2.25 0
24 1242 21 -2 0
25 1262 19 -2 0
26 1282 20 0.5 0
27 1300 17 -2.5 0
28 1318 18 0.5 0
29 1335 16.5 -1.25 0
30 1351 15.5 -1 0
31 1366 14.5 -1 0
32 1381 15 0.25 0
33 1396 15 0 0
34 1409 12 -2.5 0
35 1423 14.5 1.75 0
36 1435 11 -2.75 0
37 1447 12 0.5 0
38 1459 12 0 0
39 1470 10.5 -1.25 0
40 1482 12.5 1.5 0
41 1493 10.5 -1.5 0
42 1503 9.5 -1 0
43 1514 11.5 1.5 0
44 1524 9.5 -1.5 0
45 1533 8.5 -1 0
46 1543 10.5 1.5 0
47 1553 10 -0.25 0
48 1562 8.5 -1.25 0
49 1572 10.5 1.5 0
50 1580 7 -2.75 0
51 1589 9.5 1.75 0
52 1598 9 -0.25 0
53 1607 9 0 0
54 1615 7.5 -1.25 0
55 1623 8 0.25 0
56 1631 8 0 0
57 1638 6.5 -1.25 0
58 1644 5.5 -1 0
59 1651 7.5 1.5 0
60 1657 5.5 -1.5 0
61 1665 9 2.75 0
62 1673 8 -0.5 0
63 1681 8 0 0
64 1688 6.5 -1.25 0
65 1695 7 0.25 0
66 1701 5.5 -1.25 0
67 1708 7.5 1.5 0
68 1716 8.5 1 0
69 1723 6.5 -1.5 0
70 1730 7 0.25 0
71 1734 2.5 -3.75 0
72 1738 4 0.75 0
73 1743 5.5 1.25 0
74 1751 9.5 3.5 0
75 1760 9.5 0.5 0
76 1767 6 -2.75 0
77 1774 7 0.5 0
78 1779 4 -2.5 0
79 1785 6.5 1.75 0
80 1790 4.5 -1.5 0
81 1796 6.5 1.5 0
82 1801 4.5 -1.5 0
83 1805 3.5 -1 0
84 1808 2.5 -1 0
85 1811 3 0.25 0
86 1816 6 2.5 0
87 1823 8 2 0
88 1829 5.5 -1.75 0
89 1836 7.5 1.5 0
90 1843 7 -0.25 0
91 1851 8.5 1.25 0
