Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 411 nan nan
1 468 nan nan
2 468 -28.5 -57
3 497 43.5 50.5
4 507 0.5 -31
5 512 2.5 -1.5
6 517 5 1.25
7 520 2 -2.5
8 523 3 0.5
9 526 3 0
10 528 1.5 -1.25
11 531 3.5 1.5
12 533 1.5 -1.5
13 534 0.5 -1
14 535 1 0.25
15 537 2.5 1.25
16 539 2 -0.25
17 541 2 0
18 543 2 0
19 544 0.5 -1.25
20 545 1 0.25
21 545 -0.5 -1.25
22 545 0 0.25
23 546 1.5 1.25
24 546 -0.5 -1.5
25 546 0 0.25
26 547 1.5 1.25
27 547 -0.5 -1.5
28 547 0 0.25
29 548 1.5 1.25
30 548 -0.5 -1.5
31 549 1.5 1.5
32 549 -0.5 -1.5
33 550 1.5 1.5
34 550 -0.5 -1.5
35 551 1.5 1.5
36 552 1 -0.25
37 552 -0.5 -1.25
38 553 1.5 1.5
39 553 -0.5 -1.5
40 554 1.5 1.5
41 555 1 -0.25
42 555 -0.5 -1.25
43 556 1.5 1.5
44 557 1 -0.25
45 557 -0.5 -1.25
46 558 1.5 1.5
47 558 -0.5 -1.5
48 559 1.5 1.5
49 560 1 -0.25
50 560 -0.5 -1.25
51 561 1.5 1.5
52 562 1 -0.25
53 562 -0.5 -1.25
54 563 1.5 1.5
55 564 1 -0.25
56 564 -0.5 -1.25
57 565 1.5 1.5
58 566 1 -0.25
59 566 -0.5 -1.25
60 567 1.5 1.5
61 567 -0.5 -1.5
62 568 1.5 1.5
63 569 1 -0.25
64 570 1 0
65 570 -0.5 -1.25
66 571 1.5 1.5
67 572 1 -0.25
68 572 -0.5 -1.25
69 573 1.5 1.5
70 574 1 -0.25
71 574 -0.5 -1.25
72 575 1.5 1.5
73 576 1 -0.25
74 576 -0.5 -1.25
75 577 1.5 1.5
76 578 1 -0.25
77 579 1 0
78 580 1 0
79 580 -0.5 -1.25
80 581 1.5 1.5
81 582 1 -0.25
82 583 1 0
83 583 -0.5 -1.25
84 584 1.5 1.5
85 585 1 -0.25
86 586 1 0
87 586 -0.5 -1.25
88 587 1.5 1.5
89 588 1 -0.25
90 589 1 0
91 589 -0.5 -1.25
92 590 1.5 1.5
93 591 1 -0.25
94 592 1 0
95 592 -0.5 -1.25
96 593 1.5 1.5
97 594 1 -0.25
98 595 1 0
99 596 1 0
100 597 1 0
101 597 -0.5 -1.25
102 598 1.5 1.5
103 599 1 -0.25
104 600 1 0
105 602 2.5 1.25
106 608 8 4.75
107 612 3 -3.5
108 618 7 3
109 624 6 -0.5
110 630 6 0
111 636 6 0
112 642 6 0
113 648 6 0
114 652 3 -2.5
115 658 7 3
116 664 6 -0.5
117 670 6 0
118 674 3 -2.5
119 680 7 3
120 686 6 -0.5
121 692 6 0
122 698 6 0
123 704 6 0
124 710 6 0
125 716 6 0
126 722 6 0
127 728 6 0
128 734 6 0
129 740 6 0
130 746 6 0
131 752 6 0
132 758 6 0
133 764 6 0
134 770 6 0
135 776 6 0
136 782 6 0
137 788 6 0
138 794 6 0
139 800 6 0
140 806 6 0
141 812 6 0
142 830 24 15
143 860 36 12
144 904 51 14.5
145 904 -22 -58.5
146 932 42 46
147 946 7 -24.5
148 948 -4 -11.5
149 950 2 3
150 952 2 0
151 954 2 0
152 956 2 0
153 960 5 2.5
154 962 1 -3
155 964 2 0.5
156 968 5 2.5
157 970 1 -3
158 974 5 3
159 978 4 -0.5
160 982 4 0
161 986 4 0
162 988 1 -2.5
163 992 5 3
164 996 4 -0.5
165 1000 4 0
166 1002 1 -2.5
167 1009 9.5 6.75
168 1021 14.5 5
169 1037 18 3.75
170 1049 10 -6
171 1054 1.5 -7.75
172 1055 -1 -3.25
173 1056 1 1
174 1057 1 0
175 1058 1 0
176 1059 1 0
177 1060 1 0
178 1061 1 0
179 1063 2.5 1.25
180 1064 0.5 -1.5
181 1066 2.5 1.5
182 1068 2 -0.25
183 1069 0.5 -1.25
184 1071 2.5 1.5
185 1073 2 -0.25
186 1075 2 0
187 1077 2 0
188 1079 2 0
189 1082 3.5 1.25
190 1084 1.5 -1.5
191 1086 2 0.25
192 1088 2 0
193 1091 3.5 1.25
194 1093 1.5 -1.5
195 1096 3.5 1.5
196 1098 1.5 -1.5
197 1101 3.5 1.5
198 1103 1.5 -1.5
199 1106 3.5 1.5
200 1108 1.5 -1.5
201 1111 3.5 1.5
202 1113 1.5 -1.5
203 1115 2 0.25
204 1117 2 0
205 1120 3.5 1.25
206 1122 1.5 -1.5
207 1125 3.5 1.5
208 1127 1.5 -1.5
209 1129 2 0.25
210 1132 3.5 1.25
211 1134 1.5 -1.5
212 1137 3.5 1.5
213 1139 1.5 -1.5
214 1141 2 0.25
215 1144 3.5 1.25
216 1147 3 -0.25
217 1149 1.5 -1.25
218 1152 3.5 1.5
219 1155 3 -0.25
220 1158 3 0
221 1160 1.5 -1.25
222 1163 3.5 1.5
223 1165 1.5 -1.5
224 1168 3.5 1.5
225 1170 1.5 -1.5
226 1173 3.5 1.5
227 1175 1.5 -1.5
228 1178 3.5 1.5
229 1180 1.5 -1.5
230 1182 2 0.25
231 1185 3.5 1.25
232 1187 1.5 -1.5
233 1189 2 0.25
234 1192 3.5 1.25
235 1194 1.5 -1.5
236 1197 3.5 1.5
237 1199 1.5 -1.5
238 1201 2 0.25
239 1204 3.5 1.25
240 1206 1.5 -1.5
241 1209 3.5 1.5
242 1211 1.5 -1.5
243 1214 3.5 1.5
244 1216 1.5 -1.5
245 1219 3.5 1.5
246 1221 1.5 -1.5
247 1224 3.5 1.5
248 1226 1.5 -1.5
249 1228 2 0.25
250 1230 2 0
251 1232 2 0
252 1235 3.5 1.25
253 1237 1.5 -1.5
254 1239 2 0.25
255 1241 2 0
256 1243 2 0
257 1246 3.5 1.25
258 1248 1.5 -1.5
259 1250 2 0.25
260 1252 2 0
261 1255 3.5 1.25
262 1257 1.5 -1.5
263 1259 2 0.25
264 1261 2 0
265 1264 3.5 1.25
266 1266 1.5 -1.5
267 1268 2 0.25
268 1270 2 0
269 1273 3.5 1.25
270 1275 1.5 -1.5
271 1277 2 0.25
272 1279 2 0
273 1281 2 0
274 1283 2 0
275 1285 2 0
276 1287 2 0
277 1290 3.5 1.25
278 1292 1.5 -1.5
279 1294 2 0.25
280 1297 3.5 1.25
281 1299 1.5 -1.5
282 1301 2 0.25
283 1303 2 0
284 1305 2 0
285 1307 2 0
286 1307 -1 -2.5
287 1309 3 3
288 1311 2 -0.5
289 1313 2 0
290 1315 2 0
291 1317 2 0
292 1319 2 0
293 1321 2 0
294 1323 2 0
295 1325 2 0
296 1327 2 0
297 1329 2 0
298 1331 2 0
299 1333 2 0
300 1335 2 0
301 1337 2 0
302 1339 2 0
303 1341 2 0
304 1343 2 0
305 1345 2 0
306 1347 2 0
307 1348 0.5 -1.25
308 1350 2.5 1.5
309 1352 2 -0.25
310 1353 0.5 -1.25
311 1355 2.5 1.5
312 1357 2 -0.25
313 1358 0.5 -1.25
314 1360 2.5 1.5
315 1362 2 -0.25
316 1364 2 0
317 1365 0.5 -1.25
318 1367 2.5 1.5
319 1369 2 -0.25
320 1371 2 0
321 1372 0.5 -1.25
322 1374 2.5 1.5
323 1376 2 -0.25
324 1378 2 0
325 1380 2 0
326 1382 2 0
327 1384 2 0
328 1386 2 0
329 1388 2 0
330 1390 2 0
331 1392 2 0
332 1394 2 0
333 1396 2 0
334 1397 0.5 -1.25
335 1399 2.5 1.5
336 1401 2 -0.25
337 1402 0.5 -1.25
338 1404 2.5 1.5
339 1406 2 -0.25
340 1407 0.5 -1.25
341 1409 2.5 1.5
342 1410 0.5 -1.5
343 1412 2.5 1.5
344 1414 2 -0.25
345 1416 2 0
346 1417 0.5 -1.25
347 1419 2.5 1.5
348 1421 2 -0.25
349 1423 2 0
350 1424 0.5 -1.25
351 1426 2.5 1.5
352 1428 2 -0.25
353 1429 0.5 -1.25
354 1431 2.5 1.5
355 1433 2 -0.25
356 1434 0.5 -1.25
357 1436 2.5 1.5
358 1437 0.5 -1.5
359 1439 2.5 1.5
360 1440 0.5 -1.5
361 1442 2.5 1.5
362 1443 0.5 -1.5
363 1445 2.5 1.5
364 1447 2 -0.25
365 1448 0.5 -1.25
366 1450 2.5 1.5
367 1452 2 -0.25
368 1453 0.5 -1.25
369 1455 2.5 1.5
370 1457 2 -0.25
371 1458 0.5 -1.25
372 1460 2.5 1.5
373 1462 2 -0.25
374 1463 0.5 -1.25
375 1465 2.5 1.5
376 1466 0.5 -1.5
377 1468 2.5 1.5
378 1469 0.5 -1.5
379 1471 2.5 1.5
380 1472 0.5 -1.5
381 1474 2.5 1.5
382 1475 0.5 -1.5
383 1477 2.5 1.5
384 1479 2 -0.25
385 1481 2 0
386 1482 0.5 -1.25
387 1484 2.5 1.5
388 1485 0.5 -1.5
389 1487 2.5 1.5
390 1488 0.5 -1.5
391 1490 2.5 1.5
392 1491 0.5 -1.5
393 1493 2.5 1.5
394 1494 0.5 -1.5
395 1496 2.5 1.5
396 1498 2 -0.25
397 1499 0.5 -1.25
398 1501 2.5 1.5
399 1502 0.5 -1.5
400 1504 2.5 1.5
401 1505 0.5 -1.5
402 1507 2.5 1.5
403 1509 2 -0.25
404 1511 2 0
405 1512 0.5 -1.25
406 1514 2.5 1.5
407 1515 0.5 -1.5
408 1517 2.5 1.5
409 1518 0.5 -1.5
410 1520 2.5 1.5
411 1521 0.5 -1.5
412 1523 2.5 1.5
413 1524 0.5 -1.5
414 1526 2.5 1.5
415 1527 0.5 -1.5
416 1528 1 0.25
417 1530 2.5 1.25
418 1531 0.5 -1.5
419 1533 2.5 1.5
420 1535 2 -0.25
421 1536 0.5 -1.25
422 1538 2.5 1.5
423 1540 2 -0.25
424 1542 2 0
425 1543 0.5 -1.25
426 1545 2.5 1.5
427 1545 -1 -2.75
428 1547 3 3
429 1549 2 -0.5
430 1550 0.5 -1.25
431 1552 2.5 1.5
432 1554 2 -0.25
433 1556 2 0
434 1558 2 0
435 1559 0.5 -1.25
436 1561 2.5 1.5
437 1563 2 -0.25
438 1564 0.5 -1.25
439 1566 2.5 1.5
440 1568 2 -0.25
441 1570 2 0
442 1572 2 0
443 1573 0.5 -1.25
444 1575 2.5 1.5
445 1577 2 -0.25
446 1578 0.5 -1.25
447 1580 2.5 1.5
448 1582 2 -0.25
449 1583 0.5 -1.25
450 1585 2.5 1.5
451 1586 0.5 -1.5
452 1588 2.5 1.5
453 1590 2 -0.25
454 1591 0.5 -1.25
455 1593 2.5 1.5
456 1595 2 -0.25
457 1597 2 0
458 1599 2 0
459 1601 2 0
460 1602 0.5 -1.25
461 1604 2.5 1.5
462 1606 2 -0.25
463 1608 2 0
464 1609 0.5 -1.25
465 1611 2.5 1.5
466 1613 2 -0.25
467 1614 0.5 -1.25
468 1616 2.5 1.5
469 1617 0.5 -1.5
470 1619 2.5 1.5
471 1621 2 -0.25
472 1622 0.5 -1.25
473 1624 2.5 1.5
474 1626 2 -0.25
475 1628 2 0
476 1630 2 0
477 1632 2 0
478 1634 2 0
479 1636 2 0
480 1638 2 0
481 1640 2 0
482 1642 2 0
483 1644 2 0
484 1646 2 0
485 1648 2 0
486 1649 0.5 -1.25
487 1651 2.5 1.5
488 1653 2 -0.25
489 1655 2 0
490 1656 0.5 -1.25
491 1658 2.5 1.5
492 1660 2 -0.25
493 1662 2 0
494 1664 2 0
495 1666 2 0
496 1668 2 0
497 1670 2 0
498 1672 2 0
499 1674 2 0
500 1676 2 0
501 1678 2 0
502 1680 2 0
503 1682 2 0
504 1684 2 0
505 1685 0.5 -1.25
506 1687 2.5 1.5
507 1689 2 -0.25
508 1690 0.5 -1.25
509 1692 2.5 1.5
510 1694 2 -0.25
511 1696 2 0
512 1698 2 0
513 1700 2 0
514 1702 2 0
515 1704 2 0
516 1706 2 0
517 1708 2 0
518 1710 2 0
519 1712 2 0
520 1714 2 0
521 1716 2 0
522 1718 2 0
523 1720 2 0
524 1722 2 0
525 1724 2 0
526 1726 2 0
527 1728 2 0
528 1730 2 0
529 1732 2 0
530 1734 2 0
531 1736 2 0
532 1738 2 0
533 1740 2 0
534 1742 2 0
535 1743 0.5 -1.25
536 1745 2.5 1.5
537 1747 2 -0.25
538 1749 2 0
539 1751 2 0
540 1753 2 0
541 1755 2 0
542 1756 0.5 -1.25
543 1758 2.5 1.5
544 1760 2 -0.25
545 1762 2 0
546 1764 2 0
547 1766 2 0
548 1768 2 0
549 1770 2 0
550 1773 3.5 1.25
551 1775 1.5 -1.5
552 1777 2 0.25
553 1778 0.5 -1.25
554 1780 2.5 1.5
555 1782 2 -0.25
556 1784 2 0
557 1786 2 0
558 1788 2 0
559 1790 2 0
560 1792 2 0
561 1794 2 0
562 1796 2 0
563 1798 2 0
564 1800 2 0
565 1802 2 0
566 1804 2 0
567 1806 2 0
568 1806 -1 -2.5
569 1808 3 3
570 1810 2 -0.5
571 1813 3.5 1.25
572 1815 1.5 -1.5
573 1817 2 0.25
574 1819 2 0
575 1821 2 0
576 1822 0.5 -1.25
577 1824 2.5 1.5
578 1826 2 -0.25
579 1828 2 0
580 1830 2 0
581 1832 2 0
582 1835 3.5 1.25
583 1837 1.5 -1.5
584 1839 2 0.25
585 1840 0.5 -1.25
586 1842 2.5 1.5
587 1844 2 -0.25
588 1846 2 0
589 1848 2 0
590 1850 2 0
591 1852 2 0
592 1854 2 0
593 1856 2 0
594 1858 2 0
595 1860 2 0
596 1862 2 0
597 1864 2 0
598 1866 2 0
599 1868 2 0
