Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 1099 nan nan
1 1121 nan nan
2 1141 19 -2
3 1158 15.5 -3.25
4 1174 15.5 -0.5
5 1189 14.5 -1
6 1203 13.5 -1
7 1216 12.5 -1
8 1230 14.5 1.5
9 1242 11 -2.75
10 1253 10.5 -0.75
11 1264 11 0.25
12 1275 11 0
13 1285 9.5 -1.25
14 1296 11.5 1.5
15 1306 9.5 -1.5
16 1316 10 0.25
17 1325 8.5 -1.25
18 1334 9 0.25
19 1341 6 -2.5
20 1341 -3.5 -8.25
21 1349 12 11.75
22 1357 8 -2
23 1365 8 0
24 1373 8 0
25 1380 6.5 -1.25
26 1388 8.5 1.5
27 1395 6.5 -1.5
28 1402 7 0.25
29 1410 8.5 1.25
30 1416 5 -2.75
31 1421 4.5 -0.75
32 1425 3.5 -1
33 1429 4 0.25
34 1435 7 2.5
35 1442 7.5 0.75
36 1448 5.5 -1.5
37 1454 6 0.25
38 1460 6 0
39 1466 6 0
40 1472 6 0
41 1479 7.5 1.25
42 1486 7 -0.25
43 1492 5.5 -1.25
44 1498 6 0.25
45 1502 3 -2.5
46 1504 1 -2
47 1507 3.5 1.75
48 1512 6 2.25
49 1520 9.5 3.25
50 1527 6.5 -2
51 1534 7 0.25
52 1538 2.5 -3.75
53 1542 4 0.75
54 1546 4 0
55 1551 5.5 1.25
56 1558 8 2.25
57 1565 7 -0.5
58 1571 5.5 -1.25
59 1577 6 0.25
60 1582 4.5 -1.25
61 1588 6.5 1.5
62 1593 4.5 -1.5
63 1596 2 -2.25
64 1598 1.5 -0.75
65 1601 3.5 1.5
66 1607 7.5 3.5
67 1615 9 1.75
68 1620 3.5 -4.25
69 1624 3.5 -0.5
70 1627 2.5 -1
71 1632 6 2.75
72 1637 5 -0.5
73 1639 0.5 -3.75
74 1640 0.5 -0.5
75 1643 4 2.75
76 1648 6 2
77 1657 11 4.5
78 1666 9 -1
79 1673 6 -2.5
80 1679 5.5 -0.75
81 1686 7.5 1.5
82 1692 5.5 -1.5
83 1696 3 -2.25
84 1698 1 -2
85 1702 5 3
86 1707 5.5 0.75
87 1715 9.5 3.5
88 1723 8 -0.75
89 1731 8 0
90 1737 5 -2.5
91 1744 7.5 1.75
92 1749 4 -2.75
93 1754 5 0.5
94 1756 0.5 -3.75
95 1759 3.5 2
96 1764 6 2.25
97 1770 6.5 0.75
98 1774 3 -2.75
99 1778 4 0.5
100 1783 5.5 1.25
101 1792 11 4.75
102 1801 9 -1
103 1808 6 -2.5
104 1814 5.5 -0.75
105 1819 4.5 -1
106 1825 6.5 1.5
107 1832 7.5 1
108 1838 5.5 -1.5
109 1842 3 -2.25
110 1844 1 -2
111 1846 2 0.5
112 1847 0.5 -1.25
113 1848 1 0.25
114 1849 1 0
115 1850 1 0
116 1852 2.5 1.25
117 1854 2 -0.25
118 1856 2 0
119 1858 2 0
120 1866 11 7.5
121 1877 12.5 2.25
122 1893 18.5 5.5
123 1904 8.5 -7.5
124 1909 2 -6.25
125 1910 -1 -3.5
126 1911 1 1
127 1915 5.5 3.75
128 1922 8.5 3
129 1933 13 4.25
130 1940 5 -6
131 1945 4 -1.5
132 1946 -1 -4.5
133 1947 1 1
134 1948 1 0
135 1949 1 0
136 1950 1 0
137 1952 2.5 1.25
138 1954 2 -0.25
139 1956 2 0
140 1958 2 0
141 1960 2 0
142 1962 2 0
143 1964 2 0
144 1967 3.5 1.25
145 1967 -1.5 -4
146 1969 3 3.25
147 1972 3.5 0.75
148 1975 3 -0.25
149 1978 3 0
150 1981 3 0
151 1984 3 0
152 1994 13.5 8.75
153 2012 22 8.25
154 2037 28.5 6.75
155 2055 14.5 -10.5
156 2064 4.5 -9.5
157 2065 -3 -7.75
158 2066 1 2
159 2067 1 0
160 2069 2.5 1.25
161 2071 2 -0.25
162 2073 2 0
163 2075 2 0
164 2077 2 0
165 2080 3.5 1.25
166 2083 3 -0.25
167 2086 3 0
168 2088 1.5 -1.25
169 2091 3.5 1.5
170 2094 3 -0.25
171 2097 3 0
172 2099 1.5 -1.25
173 2102 3.5 1.5
174 2112 13.5 8.5
175 2129 20.5 7
176 2153 27.5 7
177 2170 13.5 -10.5
178 2179 5 -8.25
179 2181 -1.5 -6.75
180 2182 0.5 0.5
181 2183 1 0.25
182 2184 1 0
183 2185 1 0
184 2187 2.5 1.25
185 2188 0.5 -1.5
186 2190 2.5 1.5
