Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 654 nan nan
1 664 nan nan
2 670 4 -4
3 674 3 -1.5
4 676 1 -2
5 676 -1 -2
6 676 0 0.5
7 678 3 2.5
8 680 2 -0.5
9 680 -1 -2.5
10 682 3 3
11 684 2 -0.5
12 686 2 0
13 688 2 0
14 690 2 0
15 692 2 0
16 696 5 2.5
17 698 1 -3
18 700 2 0.5
19 702 2 0
20 704 2 0
21 708 5 2.5
22 710 1 -3
23 714 5 3
24 718 4 -0.5
25 722 4 0
26 724 1 -2.5
27 728 5 3
28 730 1 -3
29 734 5 3
30 736 1 -3
31 740 5 3
32 742 1 -3
33 746 5 3
34 748 1 -3
35 752 5 3
36 756 4 -0.5
37 758 1 -2.5
38 762 5 3
39 764 1 -3
40 768 5 3
41 772 4 -0.5
42 774 1 -2.5
43 778 5 3
44 780 1 -3
45 784 5 3
46 786 1 -3
47 790 5 3
48 792 1 -3
49 794 2 0.5
50 796 2 0
51 800 5 2.5
52 802 1 -3
53 804 2 0.5
54 806 2 0
55 810 5 2.5
56 812 1 -3
57 814 2 0.5
58 816 2 0
59 818 2 0
60 820 2 0
61 822 2 0
62 824 2 0
63 826 2 0
64 828 2 0
65 830 2 0
66 832 2 0
67 834 2 0
68 836 2 0
69 838 2 0
70 840 2 0
71 842 2 0
72 844 2 0
73 846 2 0
74 850 5 2.5
75 852 1 -3
76 854 2 0.5
77 856 2 0
78 858 2 0
79 860 2 0
80 862 2 0
81 864 2 0
82 866 2 0
83 868 2 0
84 870 2 0
85 872 2 0
86 874 2 0
87 876 2 0
88 876 -1 -2.5
89 878 3 3
90 880 2 -0.5
91 882 2 0
92 882 -1 -2.5
93 884 3 3
94 886 2 -0.5
95 888 2 0
96 890 2 0
97 890 -1 -2.5
98 892 3 3
99 894 2 -0.5
100 896 2 0
101 898 2 0
102 900 2 0
103 902 2 0
104 904 2 0
105 906 2 0
106 908 2 0
107 910 2 0
108 912 2 0
109 914 2 0
110 916 2 0
111 918 2 0
112 920 2 0
113 922 2 0
114 924 2 0
115 926 2 0
116 928 2 0
117 928 -1 -2.5
118 930 3 3
119 932 2 -0.5
120 934 2 0
121 934 -1 -2.5
122 936 3 3
123 938 2 -0.5
124 940 2 0
125 942 2 0
126 944 2 0
127 946 2 0
128 948 2 0
129 950 2 0
130 950 -1 -2.5
131 952 3 3
132 954 2 -0.5
133 956 2 0
134 956 -1 -2.5
135 958 3 3
136 960 2 -0.5
137 962 2 0
138 964 2 0
139 966 2 0
140 968 2 0
141 968 -1 -2.5
142 970 3 3
143 972 2 -0.5
144 974 2 0
145 974 -1 -2.5
146 976 3 3
147 978 2 -0.5
148 980 2 0
149 982 2 0
150 984 2 0
151 986 2 0
152 988 2 0
153 990 2 0
154 992 2 0
155 994 2 0
156 996 2 0
157 996 -1 -2.5
158 998 3 3
159 1000 2 -0.5
160 1001 0.5 -1.25
161 1002 1 0.25
162 1003 1 0
163 1004 1 0
164 1005 1 0
165 1006 1 0
166 1007 1 0
167 1008 1 0
168 1009 1 0
169 1010 1 0
170 1010 -0.5 -1.25
171 1011 1.5 1.5
172 1012 1 -0.25
173 1013 1 0
174 1014 1 0
175 1015 1 0
176 1016 1 0
177 1017 1 0
178 1018 1 0
179 1019 1 0
180 1020 1 0
181 1022 2.5 1.25
182 1023 0.5 -1.5
183 1024 1 0.25
184 1025 1 0
185 1026 1 0
186 1027 1 0
187 1028 1 0
188 1029 1 0
189 1030 1 0
190 1031 1 0
191 1032 1 0
192 1033 1 0
193 1034 1 0
194 1035 1 0
195 1035 -0.5 -1.25
196 1036 1.5 1.5
197 1037 1 -0.25
198 1038 1 0
199 1039 1 0
200 1040 1 0
201 1041 1 0
202 1041 -0.5 -1.25
203 1042 1.5 1.5
204 1043 1 -0.25
205 1044 1 0
206 1046 2.5 1.25
207 1047 0.5 -1.5
208 1048 1 0.25
209 1049 1 0
210 1050 1 0
211 1052 2.5 1.25
212 1053 0.5 -1.5
213 1054 1 0.25
214 1055 1 0
215 1056 1 0
216 1056 -0.5 -1.25
217 1057 1.5 1.5
218 1058 1 -0.25
219 1059 1 0
220 1060 1 0
221 1061 1 0
222 1062 1 0
223 1063 1 0
224 1064 1 0
225 1065 1 0
226 1066 1 0
227 1067 1 0
228 1068 1 0
229 1069 1 0
230 1070 1 0
231 1071 1 0
232 1072 1 0
233 1073 1 0
234 1074 1 0
235 1075 1 0
236 1077 2.5 1.25
237 1078 0.5 -1.5
238 1079 1 0.25
239 1081 2.5 1.25
240 1082 0.5 -1.5
241 1083 1 0.25
242 1084 1 0
243 1086 2.5 1.25
244 1087 0.5 -1.5
245 1088 1 0.25
246 1089 1 0
247 1090 1 0
248 1091 1 0
249 1092 1 0
250 1093 1 0
251 1094 1 0
