Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 577 nan nan
1 577 nan nan
2 577 0 0
3 577 0 0
4 577 0 0
5 577 0 0
6 578 1.5 1.25
7 578 -0.5 -1.5
8 578 0 0.25
9 579 1.5 1.25
10 579 -0.5 -1.5
11 579 0 0.25
12 580 1.5 1.25
13 580 -0.5 -1.5
14 581 1.5 1.5
15 581 -0.5 -1.5
16 581 0 0.25
17 582 1.5 1.25
18 582 -0.5 -1.5
19 583 1.5 1.5
20 583 -0.5 -1.5
21 584 1.5 1.5
22 584 -0.5 -1.5
23 585 1.5 1.5
24 585 -0.5 -1.5
25 586 1.5 1.5
26 586 -0.5 -1.5
27 587 1.5 1.5
28 587 -0.5 -1.5
29 588 1.5 1.5
30 588 -0.5 -1.5
31 589 1.5 1.5
32 589 -0.5 -1.5
33 590 1.5 1.5
34 590 -0.5 -1.5
35 591 1.5 1.5
36 591 -0.5 -1.5
37 592 1.5 1.5
38 593 1 -0.25
39 593 -0.5 -1.25
40 594 1.5 1.5
41 594 -0.5 -1.5
42 595 1.5 1.5
43 595 -0.5 -1.5
44 596 1.5 1.5
45 596 -0.5 -1.5
46 597 1.5 1.5
47 598 1 -0.25
48 598 -0.5 -1.25
49 599 1.5 1.5
50 599 -0.5 -1.5
51 600 1.5 1.5
52 600 -0.5 -1.5
53 604 6 5.25
54 608 4 -1
55 610 1 -2.5
56 614 5 3
57 616 1 -3
58 620 5 3
59 624 4 -0.5
60 628 4 0
61 632 4 0
62 636 4 0
63 638 1 -2.5
64 642 5 3
65 646 4 -0.5
66 648 1 -2.5
67 652 5 3
68 656 4 -0.5
69 658 1 -2.5
70 662 5 3
71 664 1 -3
72 668 5 3
73 670 1 -3
74 674 5 3
75 676 1 -3
76 680 5 3
77 682 1 -3
78 686 5 3
79 688 1 -3
80 692 5 3
81 694 1 -3
82 698 5 3
83 700 1 -3
84 704 5 3
85 706 1 -3
86 710 5 3
87 712 1 -3
88 716 5 3
