Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 424 nan nan
1 426 nan nan
2 426 -1 -2
3 426 0 0.5
4 426 0 0
5 426 0 0
6 427 1.5 1.25
7 427 -0.5 -1.5
8 427 0 0.25
9 427 0 0
10 428 1.5 1.25
11 428 -0.5 -1.5
12 429 1.5 1.5
13 429 -0.5 -1.5
14 430 1.5 1.5
15 431 1 -0.25
16 432 1 0
17 433 1 0
18 433 -0.5 -1.25
19 434 1.5 1.5
20 435 1 -0.25
21 436 1 0
22 436 -0.5 -1.25
23 437 1.5 1.5
24 438 1 -0.25
25 439 1 0
26 440 1 0
27 441 1 0
28 442 1 0
29 443 1 0
30 444 1 0
31 445 1 0
32 447 2.5 1.25
33 447 -1 -2.75
34 448 1.5 1.75
35 449 1 -0.25
36 450 1 0
37 450 -0.5 -1.25
38 450 0 0.25
39 451 1.5 1.25
40 452 1 -0.25
41 453 1 0
42 455 2.5 1.25
43 456 0.5 -1.5
44 457 1 0.25
45 458 1 0
46 460 2.5 1.25
47 461 0.5 -1.5
48 463 2.5 1.5
49 464 0.5 -1.5
50 465 1 0.25
51 467 2.5 1.25
52 468 0.5 -1.5
53 470 2.5 1.5
54 472 2 -0.25
55 474 2 0
56 475 0.5 -1.25
57 477 2.5 1.5
58 479 2 -0.25
59 480 0.5 -1.25
60 482 2.5 1.5
61 483 0.5 -1.5
62 485 2.5 1.5
63 487 2 -0.25
64 489 2 0
65 490 0.5 -1.25
66 492 2.5 1.5
67 494 2 -0.25
68 496 2 0
69 497 0.5 -1.25
70 499 2.5 1.5
71 501 2 -0.25
72 501 -1 -2.5
73 502 1.5 1.75
74 503 1 -0.25
75 503 -0.5 -1.25
76 504 1.5 1.5
77 505 1 -0.25
78 505 -0.5 -1.25
79 506 1.5 1.5
80 507 1 -0.25
81 507 -0.5 -1.25
82 508 1.5 1.5
83 509 1 -0.25
84 509 -0.5 -1.25
85 510 1.5 1.5
86 511 1 -0.25
87 511 -0.5 -1.25
88 512 1.5 1.5
89 513 1 -0.25
90 514 1 0
