Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 403 nan nan
1 420 nan nan
2 434 12.5 -3
3 434 -7 -16.75
4 450 24 23.5
5 464 13 -6.5
6 478 14 0.5
7 490 11 -2.5
8 501 10.5 -0.75
9 504 -1 -9.75
10 507 3 2
11 510 3 0
12 513 3 0
13 516 3 0
14 518 1.5 -1.25
15 521 3.5 1.5
16 523 1.5 -1.5
17 526 3.5 1.5
18 527 0 -2.75
19 529 2.5 1.75
20 529 -1 -2.75
21 530 1.5 1.75
22 530 -0.5 -1.5
23 530 0 0.25
24 531 1.5 1.25
25 531 -0.5 -1.5
26 531 0 0.25
27 532 1.5 1.25
28 532 -0.5 -1.5
29 532 0 0.25
30 533 1.5 1.25
31 535 2.5 1
32 538 3.5 1
33 542 4.5 1
34 545 2.5 -1.5
35 548 3 0.25
36 549 0 -2.5
37 550 1 0.5
38 552 2.5 1.25
39 554 2 -0.25
40 555 0.5 -1.25
41 557 2.5 1.5
42 558 0.5 -1.5
43 560 2.5 1.5
44 561 0.5 -1.5
45 563 2.5 1.5
46 564 0.5 -1.5
47 566 2.5 1.5
48 567 0.5 -1.5
49 567 -0.5 -1
50 568 1.5 1.5
51 570 2.5 1
52 573 3.5 1
53 575 1.5 -1.5
54 578 3.5 1.5
55 580 1.5 -1.5
56 581 0.5 -1
57 581 -0.5 -1
58 582 1.5 1.5
59 582 -0.5 -1.5
60 583 1.5 1.5
61 585 2.5 1
62 588 3.5 1
63 591 3 -0.25
64 593 1.5 -1.25
65 594 0.5 -1
66 596 2.5 1.5
67 598 2 -0.25
68 600 2 0
69 608 11 7.5
70 622 17 6
71 634 11 -4
72 648 15 3
73 658 8 -5.5
74 670 13 3.5
75 680 9 -3
76 692 13 3
77 702 9 -3
78 714 13 3
79 724 9 -3
80 736 13 3
81 746 9 -3
82 756 10 0.5
83 768 13 2.5
84 780 12 -0.5
85 792 12 0
86 804 12 0
87 818 15 2.5
88 830 11 -3
89 842 12 0.5
90 852 9 -2.5
91 864 13 3
92 874 9 -3
93 886 13 3
94 896 9 -3
95 908 13 3
96 922 15 2
97 934 11 -3
98 946 12 0.5
99 958 12 0
100 970 12 0
101 980 9 -2.5
102 986 4 -4.5
103 994 9 3.5
104 1002 8 -0.5
105 1011 9.5 1.25
106 1020 9 -0.25
107 1030 10.5 1.25
108 1038 7 -2.75
109 1045 6.5 -0.75
110 1050 4 -2.25
111 1055 5 0.5
112 1060 5 0
113 1068 9.5 3.75
114 1076 8 -0.75
115 1083 6.5 -1.25
116 1090 7 0.25
117 1097 7 0
118 1103 5.5 -1.25
119 1110 7.5 1.5
120 1117 7 -0.25
121 1123 5.5 -1.25
122 1130 7.5 1.5
123 1136 5.5 -1.5
124 1142 6 0.25
125 1149 7.5 1.25
126 1155 5.5 -1.5
127 1160 4.5 -1
128 1166 6.5 1.5
129 1172 6 -0.25
130 1178 6 0
131 1184 6 0
132 1188 3 -2.5
133 1192 4 0.5
134 1196 4 0
135 1202 7 2.5
136 1209 7.5 0.75
137 1216 7 -0.25
138 1222 5.5 -1.25
139 1228 6 0.25
140 1233 4.5 -1.25
141 1239 6.5 1.5
142 1245 6 -0.25
143 1245 -3 -7.5
144 1251 9 9
145 1257 6 -1.5
146 1262 4.5 -1.25
147 1264 0.5 -3.5
148 1266 2 0.75
149 1267 0.5 -1.25
150 1270 4 2.75
151 1277 9 4.5
152 1287 11.5 2.75
153 1296 8.5 -2
154 1303 6 -2.25
155 1309 5.5 -0.75
156 1314 4.5 -1
157 1319 5 0.25
158 1324 5 0
159 1330 6.5 1.25
160 1336 6 -0.25
161 1341 4.5 -1.25
162 1346 5 0.25
163 1350 3.5 -1.25
164 1352 1 -2.25
165 1355 3.5 1.75
166 1359 4.5 1
167 1366 8.5 3.5
168 1372 5.5 -2
169 1375 1.5 -3.5
170 1377 1.5 -0.5
171 1378 0.5 -1
172 1379 1 0.25
173 1380 1 0
174 1381 1 0
175 1383 2.5 1.25
176 1385 2 -0.25
177 1391 8 5
178 1401 12 4
179 1416 17.5 5.25
180 1427 9 -6.25
181 1433 3.5 -5.25
182 1434 -1.5 -5
183 1437 4 3.75
184 1442 6 2
185 1450 9.5 3.25
186 1455 3.5 -4.5
187 1458 2 -1.75
188 1459 0 -2
189 1462 4 3
190 1467 6 2
191 1475 9.5 3.25
192 1480 3.5 -4.5
193 1484 3.5 -0.5
194 1484 -2 -4.75
195 1485 1.5 2.25
196 1486 1 -0.25
197 1488 2.5 1.25
198 1492 5 2.25
199 1500 10 4.5
200 1511 12.5 2.75
201 1519 6.5 -4.5
202 1523 2 -4.25
203 1526 2.5 -0.25
204 1532 7.5 4
205 1541 10.5 3
206 1549 7.5 -2
207 1554 3.5 -3.5
208 1556 0.5 -3
209 1557 0.5 -0.5
210 1558 1 0.25
211 1559 1 0
212 1560 1 0
213 1564 5.5 3.75
214 1571 8.5 3
215 1582 13 4.25
216 1590 6.5 -4.75
217 1594 2 -4.25
218 1596 1 -1.5
219 1599 3.5 1.75
220 1604 6 2.25
221 1611 8 2
