Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 450 nan nan
1 452 nan nan
2 453 0.5 -1
3 455 2.5 1.5
4 456 0.5 -1.5
5 458 2.5 1.5
6 464 8 4.75
7 474 12 4
8 488 16 4
9 499 9.5 -4.75
10 502 -1 -9.25
11 502 -1.5 -1.75
12 502 0 0.75
13 503 1.5 1.25
14 503 -0.5 -1.5
15 503 0 0.25
16 504 1.5 1.25
17 504 -0.5 -1.5
18 504 0 0.25
19 505 1.5 1.25
20 505 -0.5 -1.5
21 507 3 2.75
22 510 3.5 0.75
23 514 4.5 1
24 518 4 -0.25
25 521 2.5 -1.25
26 522 0 -2.25
27 523 1 0.5
28 524 1 0
29 525 1 0
30 526 1 0
31 529 4 2.5
32 531 1.5 -1.75
33 533 2 0.25
34 533 -1 -2.5
35 534 1.5 1.75
36 535 1 -0.25
37 537 2.5 1.25
38 539 2 -0.25
39 541 2 0
40 544 3.5 1.25
41 546 1.5 -1.5
42 548 2 0.25
43 549 0.5 -1.25
44 551 2.5 1.5
45 554 3.5 1
46 556 1.5 -1.5
47 559 3.5 1.5
48 561 1.5 -1.5
49 563 2 0.25
50 565 2 0
51 568 3.5 1.25
52 570 1.5 -1.5
53 572 2 0.25
54 574 2 0
55 576 2 0
56 578 2 0
57 580 2 0
58 582 2 0
59 584 2 0
60 587 3.5 1.25
61 589 1.5 -1.5
62 591 2 0.25
63 594 3.5 1.25
64 596 1.5 -1.5
65 598 2 0.25
66 600 2 0
67 610 14 10
68 624 16 3
69 636 11 -3.5
70 648 12 0.5
71 660 12 0
72 672 12 0
73 684 12 0
74 696 12 0
75 710 15 2.5
76 722 11 -3
77 732 9 -2
78 744 13 3
79 754 9 -3
80 768 16 5.5
81 782 14 -1
82 796 14 0
83 808 11 -2.5
84 820 12 0.5
85 830 9 -2.5
86 842 13 3
87 852 9 -3
88 864 13 3
89 874 9 -3
90 884 10 0.5
91 894 10 0
92 904 10 0
93 914 10 0
94 926 13 2.5
95 940 15 2
96 952 11 -3
97 964 12 0.5
98 972 6 -5
99 980 8 1
100 988 8 0
101 1000 14 5
102 1007 4.5 -7.25
103 1013 5.5 0
104 1018 4.5 -1
105 1024 6.5 1.5
106 1029 4.5 -1.5
107 1034 5 0.25
108 1038 3.5 -1.25
109 1042 4 0.25
110 1046 4 0
111 1053 8.5 3.75
112 1061 8.5 0.5
113 1067 5 -2.75
114 1071 3 -2
115 1073 1 -2
116 1075 2 0.5
117 1076 0.5 -1.25
118 1079 4 2.75
119 1086 9 4.5
120 1097 13 4
121 1107 9.5 -2.25
122 1114 5.5 -3.5
123 1120 5.5 -0.5
124 1125 4.5 -1
125 1131 6.5 1.5
126 1136 4.5 -1.5
127 1142 6.5 1.5
128 1147 4.5 -1.5
129 1153 6.5 1.5
130 1159 6 -0.25
131 1164 4.5 -1.25
132 1168 3.5 -1
133 1170 1 -2.25
134 1172 2 0.5
135 1173 0.5 -1.25
136 1176 4 2.75
137 1182 7.5 3.25
138 1193 13.5 5.5
139 1202 8 -3.75
140 1210 7.5 -0.75
141 1214 2 -4.75
142 1216 1 -1.5
143 1218 2 0.5
144 1219 0.5 -1.25
145 1222 4 2.75
146 1229 9 4.5
147 1239 11.5 2.75
148 1247 7 -3.25
149 1253 5 -2
150 1253 -3 -7
151 1255 3 4
152 1257 2 -0.5
153 1259 2 0
154 1265 8 5
155 1272 7.5 0.25
156 1279 7 -0.25
157 1283 2.5 -3.75
158 1288 5.5 2
159 1294 6.5 1
160 1300 6 -0.25
161 1305 4.5 -1.25
162 1308 2 -2.25
163 1309 0 -2
164 1310 1 0.5
165 1311 1 0
166 1313 2.5 1.25
167 1317 5 2.25
168 1325 10 4.5
169 1337 14 4
170 1348 10.5 -2.25
171 1357 8 -2.25
172 1361 1.5 -5.75
173 1365 4 1.25
174 1369 4 0
175 1376 8.5 3.75
176 1384 8.5 0.5
