Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 16833 nan nan 0
1 16864 nan nan 0
2 16893 28 -2 0
3 16915 18.5 -8.25 0
4 16928 8.5 -9.5 0
5 16934 2.5 -6.5 0
6 16950 21 14.25 0
7 16981 38.5 16.25 0
8 17030 58 18.75 0
9 17073 40 -12 100
10 17103 23.5 -14.75 100
11 17124 16.5 -8 100
12 17151 30 9.75 100
13 17192 48 16 100
14 17230 36.5 -7.25 100
15 17259 24.5 -10.5 100
16 17272 5 -17.75 100
17 17288 17.5 7.75 100
18 17314 31 11.75 100
19 17357 51.5 18.75 100.5
20 17400 43 -4.25 100.5
21 17439 37 -5 100.5
22 17471 28.5 -7.75 100.5
23 17502 30.5 0.5 100.5
24 17536 35.5 4 100.5
25 17572 37 1.75 100.5
26 17609 37.5 0.75 0
