Metric,Frequency (Hz),p_value,Mean_Exp,Mean_Ctrl
CO2_smooth,566.5,6.818960517647814e-07,4217.9,1425.607163000564
CO2_smooth,563.5,6.829809293882622e-07,4253.9,1425.607163000564
CO2_smooth,569.5,6.972365392339726e-07,4203.4,1425.607163000564
CO2_smooth,560.5,7.237370918232146e-07,4293.4,1425.607163000564
CO2_smooth,572.5,7.312366960045905e-07,4183.7,1425.607163000564
CO2_smooth,575.5,7.405697996769551e-07,4177.7,1425.607163000564
CO2_smooth,557.5,8.053636983993148e-07,4323.9,1425.607163000564
CO2_smooth,578.5,8.066372180553881e-07,4177.8,1425.607163000564
CO2_smooth,581.5,8.944122866785922e-07,4184.0,1425.607163000564
CO2_smooth,554.5,1.0341825236748453e-06,4370.7,1425.607163000564
CO2_smooth,584.5,1.0813280961795032e-06,4196.1,1425.607163000564
CO2_smooth,567.3,1.2264711684724477e-06,4417.666666666667,1425.607163000564
CO2_smooth,567.1,1.2284839251076378e-06,4418.222222222223,1425.607163000564
CO2_smooth,567.5,1.2467422994313779e-06,4413.222222222223,1425.607163000564
CO2_smooth,564.7,1.2539130405633534e-06,4446.111111111111,1425.607163000564
CO2_smooth,565.3,1.2539130405633534e-06,4438.444444444444,1425.607163000564
CO2_smooth,562.7,1.2549406676278037e-06,4471.0,1425.607163000564
CO2_smooth,564.5,1.2569983486246395e-06,4449.0,1425.607163000564
CO2_smooth,564.9,1.2569983486246395e-06,4443.555555555556,1425.607163000564
CO2_smooth,565.1,1.2580284037741685e-06,4441.222222222223,1425.607163000564
CO2_smooth,565.5,1.2621567582092828e-06,4433.777777777777,1425.607163000564
CO2_smooth,564.3,1.2621567623235698e-06,4451.888888888889,1425.607163000564
CO2_smooth,562.9,1.2631908833536904e-06,4469.0,1425.607163000564
CO2_smooth,564.1,1.2631908833536904e-06,4453.777777777777,1425.607163000564
CO2_smooth,567.7,1.268373732250031e-06,4409.777777777777,1425.607163000564
CO2_smooth,567.9,1.2694127588183117e-06,4408.555555555556,1425.607163000564
CO2_smooth,566.3,1.2704526020387672e-06,4420.888888888889,1425.607163000564
CO2_smooth,565.7,1.2725347429610463e-06,4429.666666666667,1425.607163000564
CO2_smooth,568.1,1.277754463994944e-06,4407.888888888889,1425.607163000564
CO2_smooth,565.9,1.2798481145775145e-06,4425.888888888889,1425.607163000564
CO2_smooth,566.1,1.2798481145775145e-06,4423.888888888889,1425.607163000564
CO2_smooth,563.9,1.2819450648070015e-06,4453.444444444444,1425.607163000564
CO2_smooth,563.3,1.2829947767563603e-06,4460.555555555556,1425.607163000564
CO2_smooth,563.1,1.2840453196616427e-06,4464.666666666667,1425.607163000564
CO2_smooth,566.9,1.2882557569062493e-06,4415.111111111111,1425.607163000564
CO2_smooth,568.3,1.2914223055161314e-06,4406.444444444444,1425.607163000564
CO2_smooth,563.7,1.2967165213832133e-06,4454.111111111111,1425.607163000564
CO2_smooth,566.7,1.2977778693283885e-06,4415.111111111111,1425.607163000564
CO2_smooth,568.7,1.2988400528242448e-06,4407.111111111111,1425.607163000564
CO2_smooth,568.5,1.302031616564276e-06,4406.111111111111,1425.607163000564
CO2_smooth,562.5,1.3020316186811927e-06,4470.222222222223,1425.607163000564
CO2_smooth,569.7,1.3181029164167867e-06,4398.0,1425.607163000564
CO2_smooth,562.3,1.319181086933423e-06,4470.666666666667,1425.607163000564
CO2_smooth,562.1,1.321339994716545e-06,4473.222222222223,1425.607163000564
CO2_smooth,569.1,1.3235022812060732e-06,4403.0,1425.607163000564
CO2_smooth,561.9,1.3235022833551095e-06,4476.333333333333,1425.607163000564
CO2_smooth,568.9,1.3235022876531848e-06,4405.333333333333,1425.607163000564
CO2_smooth,569.3,1.3235022876531848e-06,4401.444444444444,1425.607163000564
CO2_smooth,561.1,1.3278371009711761e-06,4491.222222222223,1425.607163000564
CO2_smooth,560.9,1.3289229328405786e-06,4494.888888888889,1425.607163000564
CO2_smooth,561.7,1.3289229328405786e-06,4479.444444444444,1425.607163000564
CO2_smooth,561.3,1.3310971635117958e-06,4487.666666666667,1425.607163000564
CO2_smooth,561.5,1.3310971635117958e-06,4483.777777777777,1425.607163000564
CO2_smooth,569.9,1.3420197367799594e-06,4394.777777777777,1425.607163000564
CO2_smooth,571.1,1.3420197367799594e-06,4389.444444444444,1425.607163000564
CO2_smooth,570.3,1.3464128519858511e-06,4393.333333333333,1425.607163000564
CO2_smooth,560.7,1.347513296002405e-06,4498.222222222223,1425.607163000564
CO2_smooth,570.1,1.3475133003722195e-06,4393.777777777777,1425.607163000564
CO2_smooth,571.3,1.3497167709082815e-06,4387.777777777777,1425.607163000564
CO2_smooth,570.9,1.3497167752846695e-06,4389.666666666667,1425.607163000564
CO2_smooth,570.5,1.3596753667677874e-06,4391.0,1425.607163000564
CO2_smooth,571.7,1.3596753667677874e-06,4385.111111111111,1425.607163000564
CO2_smooth,571.9,1.3607862314980385e-06,4384.333333333333,1425.607163000564
CO2_smooth,571.5,1.3652384120013903e-06,4385.888888888889,1425.607163000564
CO2_smooth,572.1,1.366353647432339e-06,4383.0,1425.607163000564
CO2_smooth,572.3,1.3697046041788412e-06,4381.666666666667,1425.607163000564
CO2_smooth,570.7,1.369704608614849e-06,4388.666666666667,1425.607163000564
CO2_smooth,560.3,1.3708233480176065e-06,4503.666666666667,1425.607163000564
CO2_smooth,559.7,1.371942966166507e-06,4507.888888888889,1425.607163000564
CO2_smooth,560.1,1.3741848502444126e-06,4505.666666666667,1425.607163000564
CO2_smooth,559.9,1.3764302528111466e-06,4506.0,1425.607163000564
CO2_smooth,559.5,1.37980497151665e-06,4511.444444444444,1425.607163000564
CO2_smooth,572.7,1.3922471543623083e-06,4377.0,1425.607163000564
CO2_smooth,575.7,1.4025073063173417e-06,4372.0,1425.607163000564
CO2_smooth,572.9,1.403651808420682e-06,4376.666666666667,1425.607163000564
CO2_smooth,574.9,1.4059434894580117e-06,4373.222222222223,1425.607163000564
CO2_smooth,573.7,1.4070906833561278e-06,4376.111111111111,1425.607163000564
CO2_smooth,573.9,1.4105376639686629e-06,4376.222222222223,1425.607163000564
CO2_smooth,575.3,1.4105376639686629e-06,4370.444444444444,1425.607163000564
CO2_smooth,575.9,1.4105376639686629e-06,4370.222222222223,1425.607163000564
CO2_smooth,574.7,1.4116884578741474e-06,4374.222222222223,1425.607163000564
CO2_smooth,559.3,1.4128401546078876e-06,4511.777777777777,1425.607163000564
CO2_smooth,573.1,1.4209273862874794e-06,4375.0,1425.607163000564
CO2_smooth,575.1,1.4209273862874794e-06,4371.111111111111,1425.607163000564
CO2_smooth,576.5,1.4220863346953405e-06,4370.111111111111,1425.607163000564
CO2_smooth,576.1,1.4244069498547403e-06,4367.666666666667,1425.607163000564
CO2_smooth,577.1,1.4244069498547403e-06,4370.888888888889,1425.607163000564
CO2_smooth,577.3,1.427894706244693e-06,4371.777777777777,1425.607163000564
CO2_smooth,573.5,1.4278947108538683e-06,4374.666666666667,1425.607163000564
CO2_smooth,576.7,1.4290591185996215e-06,4370.222222222223,1425.607163000564
CO2_smooth,576.9,1.4290591185996215e-06,4369.666666666667,1425.607163000564
CO2_smooth,574.1,1.4290591232122492e-06,4373.888888888889,1425.607163000564
CO2_smooth,577.5,1.4290591232122492e-06,4372.777777777777,1425.607163000564
CO2_smooth,577.7,1.4360647769493006e-06,4372.777777777777,1425.607163000564
CO2_smooth,576.3,1.438407331056763e-06,4368.333333333333,1425.607163000564
CO2_smooth,573.3,1.439579980944673e-06,4372.555555555556,1425.607163000564
CO2_smooth,574.5,1.4407535500628838e-06,4372.111111111111,1425.607163000564
CO2_smooth,574.3,1.4407535547102391e-06,4371.888888888889,1425.607163000564
CO2_smooth,577.9,1.4632269771597298e-06,4371.111111111111,1425.607163000564
CO2_smooth,578.1,1.4848282522085367e-06,4369.777777777777,1425.607163000564
CO2_smooth,558.5,1.5006195226690234e-06,4517.888888888889,1425.607163000564
CO2_smooth,559.1,1.5067359682912073e-06,4510.888888888889,1425.607163000564
CO2_smooth,558.7,1.5079621342624774e-06,4515.333333333333,1425.607163000564
CO2_smooth,578.3,1.5091892595692974e-06,4370.333333333333,1425.607163000564
CO2_smooth,557.7,1.5104173376492165e-06,4529.888888888889,1425.607163000564
CO2_smooth,557.9,1.514107358792637e-06,4525.333333333333,1425.607163000564
CO2_smooth,558.1,1.5153392915517404e-06,4524.0,1425.607163000564
CO2_smooth,558.3,1.5165721830908068e-06,4520.333333333333,1425.607163000564
CO2_smooth,558.9,1.5178060438711502e-06,4512.444444444444,1425.607163000564
CO2_smooth,578.7,1.5351817245589466e-06,4372.666666666667,1425.607163000564
CO2_smooth,578.9,1.537679517154464e-06,4374.555555555556,1425.607163000564
CO2_smooth,557.3,1.545196374111131e-06,4538.888888888889,1425.607163000564
CO2_smooth,579.1,1.5616042777045366e-06,4375.111111111111,1425.607163000564
